Donor;Channel;"Funding**
USD";Uncommitted Pledges USD
Canada;ICRC;203,874;0
Czech Republic;NGOs;225,352;0
Denmark;ACT/DCA;368,497;0
European Commission Humanitarian Aid Office;ICRC;682,128;0
European Commission Humanitarian Aid Office;DRC;1,340,999;0
European Commission Humanitarian Aid Office;MSF - Netherlands;235,714;0
European Commission Humanitarian Aid Office;UN Agencies, NGOs and/or Red Cross;0;0
European Commission Humanitarian Aid Office;DRC;332,390;0
European Commission Humanitarian Aid Office;OXFAM GB;444,444;0
European Commission Humanitarian Aid Office;WVI (Germany);158,754;0
Finland;Fida International (previously Finnish Free Foreign Mission);136,240;0
Finland;IFRC;136,240;0
Germany;JUH;154,533;0
Germany;GIZ;1,571,429;0
Germany;DWHH;2,107,558;0
Germany;ICRC;391,453;0
Germany;Malteser International;544,748;0
Germany;GIZ;1,328,021;0
Germany;UNHCR;137,363;0
Germany;Care Germany;598,291;0
Germany;GIZ;571,429;0
Luxembourg;CARE International;55,989;0
Luxembourg;CARITAS;86,853;0
Norway;NPA;90,748;0
Norway;ICRC;178,891;0
Norway;MMIPE;467,464;0
Norway;SEED;92,132;0
Qatar Charity;Various Recipients;37,356;0
Qatar Charity;Various Recipients;50,151;0
Sweden;DDG;3,548,086;0
Sweden;MSF;622,859;0
Switzerland;ICRC;5,307,856;0
Switzerland;Solidar;868,621;0
Switzerland;SDC/SHA;403,909;0
Switzerland;SDC/SHA;913,138;0
Switzerland;SDC/SHA;186,775;0
Switzerland;PARCIC;85,784;0
Switzerland;SDC/SHA;819,137;0
UNICEF National Committee/Ireland;UNICEF;3,272,750;0
UNICEF National Committee/United Kingdom;UNICEF;80,257;0
United States of America;DDG;582,500;0
United States of America;AF;24,250;0
United States of America;MLI;100,000;0
United States of America;Sarvodaya Shramadana Movement;399,999;0
